Order_ID,Date,User_Name,Pages,Print_Type,Copies,Total_Pages_Printed,Rate_per_Page,Shop_Earning,App_Earning,Total_Amount,Payment_Method,Order_Status
TOK00074,2024-12-17,User_449,9,Color,3,27,1.5,33.75,6.75,40.5,UPI,Completed
TOK00075,2025-06-01,User_615,30,Color,3,90,1.5,112.5,22.5,135.0,UPI,Completed
TOK00076,2023-01-17,User_723,12,Color,3,36,1.5,45.0,9.0,54.0,UPI,Completed
TOK00077,2023-05-05,User_1154,21,Color,2,42,1.5,52.5,10.5,63.0,UPI,Completed
TOK00078,2024-07-01,User_225,11,Black & White,1,11,1.5,13.75,2.75,16.5,UPI,Completed
TOK00079,2025-12-27,User_645,3,Black & White,3,9,1.5,11.25,2.25,13.5,UPI,Completed
TOK00080,2023-04-11,User_428,33,Color,1,33,1.5,41.25,8.25,49.5,UPI,Completed
TOK00081,2023-04-11,User_339,24,Black & White,1,24,1.5,30.0,6.0,36.0,UPI,Completed
TOK00082,2024-10-09,User_569,19,Black & White,3,57,1.5,71.25,14.25,85.5,UPI,Completed
TOK00083,2024-02-17,User_476,7,Color,3,21,1.5,26.25,5.25,31.5,UPI,Completed
TOK00084,2023-03-26,User_636,47,Black & White,2,94,1.5,117.5,23.5,141.0,UPI,Completed
TOK00085,2024-12-14,User_445,10,Color,3,30,1.5,37.5,7.5,45.0,UPI,Completed
TOK00086,2024-08-25,User_231,31,Black & White,3,93,1.5,116.25,23.25,139.5,UPI,Completed
TOK00087,2024-11-10,User_969,40,Black & White,1,40,1.5,50.0,10.0,60.0,UPI,Completed
TOK00088,2024-05-27,User_600,8,Color,3,24,1.5,30.0,6.0,36.0,UPI,Completed
TOK00089,2023-07-10,User_644,12,Color,1,12,1.5,15.0,3.0,18.0,UPI,Completed
TOK00090,2023-04-27,User_532,42,Black & White,1,42,1.5,52.5,10.5,63.0,UPI,Completed
TOK00091,2025-05-02,User_287,43,Black & White,2,86,1.5,107.5,21.5,129.0,UPI,Completed
TOK00092,2023-09-30,User_133,41,Color,2,82,1.5,102.5,20.5,123.0,UPI,Completed
TOK00093,2025-05-11,User_34,49,Black & White,2,98,1.5,122.5,24.5,147.0,UPI,Completed
TOK00094,2024-10-15,User_1035,18,Black & White,3,54,1.5,67.5,13.5,81.0,UPI,Completed
TOK00095,2024-03-14,User_311,17,Black & White,2,34,1.5,42.5,8.5,51.0,UPI,Completed
TOK00096,2023-07-18,User_332,1,Black & White,3,3,1.5,3.75,0.75,4.5,UPI,Completed
TOK00097,2023-08-19,User_632,13,Black & White,3,39,1.5,48.75,9.75,58.5,UPI,Completed
TOK00098,2024-03-16,User_321,12,Color,3,36,1.5,45.0,9.0,54.0,UPI,Completed
TOK00099,2025-12-13,User_1196,21,Color,2,42,1.5,52.5,10.5,63.0,UPI,Completed
TOK00100,2025-10-22,User_1185,38,Color,1,38,1.5,47.5,9.5,57.0,UPI,Completed
TOK00101,2024-05-13,User_731,8,Black & White,2,16,1.5,20.0,4.0,24.0,UPI,Completed
TOK00102,2023-07-14,User_463,18,Black & White,3,54,1.5,67.5,13.5,81.0,UPI,Completed
TOK00103,2023-12-20,User_1001,2,Black & White,3,6,1.5,7.5,1.5,9.0,UPI,Completed
TOK00104,2025-01-30,User_227,4,Black & White,1,4,1.5,5.0,1.0,6.0,UPI,Completed
TOK00105,2025-01-16,User_871,11,Color,2,22,1.5,27.5,5.5,33.0,UPI,Completed
TOK00106,2024-03-04,User_1194,8,Black & White,1,8,1.5,10.0,2.0,12.0,UPI,Completed
TOK00107,2023-10-28,User_704,49,Black & White,1,49,1.5,61.25,12.25,73.5,UPI,Completed
TOK00108,2025-01-17,User_739,12,Black & White,2,24,1.5,30.0,6.0,36.0,UPI,Completed
TOK00109,2023-08-23,User_566,46,Black & White,1,46,1.5,57.5,11.5,69.0,UPI,Completed
TOK00110,2025-11-12,User_527,36,Black & White,2,72,1.5,90.0,18.0,108.0,UPI,Completed
TOK00111,2023-11-01,User_49,23,Color,2,46,1.5,57.5,11.5,69.0,UPI,Completed
TOK00112,2023-05-14,User_20,18,Black & White,1,18,1.5,22.5,4.5,27.0,UPI,Completed
TOK00113,2023-11-26,User_1012,6,Black & White,2,12,1.5,15.0,3.0,18.0,UPI,Completed
TOK00114,2024-08-01,User_930,9,Color,2,18,1.5,22.5,4.5,27.0,UPI,Completed
TOK00115,2025-08-12,User_207,21,Color,3,63,1.5,78.75,15.75,94.5,UPI,Completed
TOK00116,2024-07-08,User_385,1,Black & White,1,1,1.5,1.25,0.25,1.5,UPI,Completed
TOK00117,2025-04-09,User_571,49,Color,3,147,1.5,183.75,36.75,220.5,UPI,Completed
TOK00118,2023-09-21,User_607,31,Black & White,1,31,1.5,38.75,7.75,46.5,UPI,Completed
TOK00119,2025-12-03,User_875,23,Black & White,3,69,1.5,86.25,17.25,103.5,UPI,Completed
TOK00120,2023-12-15,User_962,19,Color,3,57,1.5,71.25,14.25,85.5,UPI,Completed
TOK00121,2023-08-18,User_1124,1,Color,2,2,1.5,2.5,0.5,3.0,UPI,Completed
TOK00122,2023-02-08,User_56,46,Black & White,2,92,1.5,115.0,23.0,138.0,UPI,Completed
TOK00123,2023-06-07,User_1190,7,Black & White,3,21,1.5,26.25,5.25,31.5,UPI,Completed
TOK00124,2024-12-26,User_430,14,Color,2,28,1.5,35.0,7.0,42.0,UPI,Completed
TOK00125,2025-09-03,User_846,43,Black & White,3,129,1.5,161.25,32.25,193.5,UPI,Completed
TOK00126,2023-02-03,User_966,24,Color,3,72,1.5,90.0,18.0,108.0,UPI,Completed
TOK00127,2024-11-08,User_791,1,Color,1,1,1.5,1.25,0.25,1.5,UPI,Completed
TOK00128,2024-04-19,User_12,27,Color,3,81,1.5,101.25,20.25,121.5,UPI,Completed
TOK00129,2024-01-06,User_821,7,Black & White,3,21,1.5,26.25,5.25,31.5,UPI,Completed
TOK00130,2025-03-16,User_776,11,Black & White,1,11,1.5,13.75,2.75,16.5,UPI,Completed
TOK00131,2023-10-20,User_959,25,Color,1,25,1.5,31.25,6.25,37.5,UPI,Completed
TOK00132,2024-04-18,User_104,39,Black & White,1,39,1.5,48.75,9.75,58.5,UPI,Completed
TOK00133,2024-01-09,User_866,1,Color,1,1,1.5,1.25,0.25,1.5,UPI,Completed
TOK00134,2024-05-22,User_924,20,Color,3,60,1.5,75.0,15.0,90.0,UPI,Completed
TOK00135,2024-07-10,User_413,18,Black & White,3,54,1.5,67.5,13.5,81.0,UPI,Completed
TOK00136,2024-04-28,User_127,36,Black & White,2,72,1.5,90.0,18.0,108.0,UPI,Completed
TOK00137,2023-02-01,User_26,50,Color,2,100,1.5,125.0,25.0,150.0,UPI,Completed
TOK00138,2023-12-12,User_718,6,Color,1,6,1.5,7.5,1.5,9.0,UPI,Completed
TOK00139,2023-04-17,User_87,20,Color,2,40,1.5,50.0,10.0,60.0,UPI,Completed
TOK00140,2025-11-28,User_721,31,Black & White,1,31,1.5,38.75,7.75,46.5,UPI,Completed
TOK00141,2023-04-20,User_286,14,Black & White,3,42,1.5,52.5,10.5,63.0,UPI,Completed
TOK00142,2025-02-22,User_324,21,Color,1,21,1.5,26.25,5.25,31.5,UPI,Completed
TOK00143,2023-06-12,User_529,2,Color,2,4,1.5,5.0,1.0,6.0,UPI,Completed
TOK00144,2024-05-27,User_186,35,Black & White,2,70,1.5,87.5,17.5,105.0,UPI,Completed
TOK00145,2025-02-01,User_844,24,Color,1,24,1.5,30.0,6.0,36.0,UPI,Completed
TOK00146,2024-03-13,User_425,13,Black & White,1,13,1.5,16.25,3.25,19.5,UPI,Completed
TOK00147,2025-01-30,User_859,11,Black & White,3,33,1.5,41.25,8.25,49.5,UPI,Completed
TOK00148,2024-04-11,User_525,46,Black & White,3,138,1.5,172.5,34.5,207.0,UPI,Completed
TOK00149,2024-05-02,User_1153,49,Black & White,3,147,1.5,183.75,36.75,220.5,UPI,Completed
TOK00150,2025-07-14,User_302,45,Color,2,90,1.5,112.5,22.5,135.0,UPI,Completed
TOK00151,2025-10-26,User_1181,39,Black & White,1,39,1.5,48.75,9.75,58.5,UPI,Completed
TOK00152,2023-12-14,User_993,46,Color,1,46,1.5,57.5,11.5,69.0,UPI,Completed
TOK00153,2024-05-27,User_374,43,Black & White,2,86,1.5,107.5,21.5,129.0,UPI,Completed
TOK00154,2025-04-16,User_73,11,Black & White,3,33,1.5,41.25,8.25,49.5,UPI,Completed
TOK00155,2024-09-28,User_1118,33,Color,3,99,1.5,123.75,24.75,148.5,UPI,Completed
TOK00156,2023-06-16,User_1009,33,Black & White,1,33,1.5,41.25,8.25,49.5,UPI,Completed
TOK00157,2025-07-05,User_1083,23,Black & White,2,46,1.5,57.5,11.5,69.0,UPI,Completed
TOK00158,2023-05-23,User_240,27,Color,3,81,1.5,101.25,20.25,121.5,UPI,Completed
TOK00159,2024-05-04,User_107,20,Black & White,3,60,1.5,75.0,15.0,90.0,UPI,Completed
TOK00160,2023-03-14,User_276,35,Black & White,1,35,1.5,43.75,8.75,52.5,UPI,Completed
TOK00161,2023-12-20,User_76,18,Black & White,3,54,1.5,67.5,13.5,81.0,UPI,Completed
TOK00162,2024-04-26,User_937,9,Color,1,9,1.5,11.25,2.25,13.5,UPI,Completed
TOK00163,2024-08-01,User_191,11,Color,3,33,1.5,41.25,8.25,49.5,UPI,Completed
TOK00164,2025-02-19,User_1191,6,Black & White,3,18,1.5,22.5,4.5,27.0,UPI,Completed
TOK00165,2023-10-06,User_666,34,Color,2,68,1.5,85.0,17.0,102.0,UPI,Completed
TOK00166,2023-10-17,User_600,2,Color,3,6,1.5,7.5,1.5,9.0,UPI,Completed
TOK00167,2023-11-23,User_45,8,Color,3,24,1.5,30.0,6.0,36.0,UPI,Completed
TOK00168,2023-09-22,User_994,26,Color,1,26,1.5,32.5,6.5,39.0,UPI,Completed
TOK00169,2023-11-23,User_327,35,Color,3,105,1.5,131.25,26.25,157.5,UPI,Completed
TOK00170,2023-03-27,User_212,17,Black & White,2,34,1.5,42.5,8.5,51.0,UPI,Completed
TOK00171,2024-10-07,User_511,49,Color,2,98,1.5,122.5,24.5,147.0,UPI,Completed
TOK00172,2025-08-10,User_284,5,Color,3,15,1.5,18.75,3.75,22.5,UPI,Completed
TOK00173,2025-11-29,User_994,1,Color,1,1,1.5,1.25,0.25,1.5,UPI,Completed
TOK00174,2024-06-17,User_668,43,Black & White,1,43,1.5,53.75,10.75,64.5,UPI,Completed
TOK00175,2024-02-20,User_406,28,Color,2,56,1.5,70.0,14.0,84.0,UPI,Completed
TOK00176,2024-07-18,User_167,1,Color,2,2,1.5,2.5,0.5,3.0,UPI,Completed
TOK00177,2023-05-09,User_286,38,Black & White,3,114,1.5,142.5,28.5,171.0,UPI,Completed
TOK00178,2024-08-12,User_752,7,Black & White,3,21,1.5,26.25,5.25,31.5,UPI,Completed
TOK00179,2025-09-17,User_1088,9,Color,3,27,1.5,33.75,6.75,40.5,UPI,Completed
TOK00180,2024-02-21,User_441,25,Color,1,25,1.5,31.25,6.25,37.5,UPI,Completed
TOK00181,2025-08-24,User_187,38,Black & White,1,38,1.5,47.5,9.5,57.0,UPI,Completed
TOK00182,2023-10-31,User_1047,17,Color,1,17,1.5,21.25,4.25,25.5,UPI,Completed
TOK00183,2025-04-04,User_952,41,Color,1,41,1.5,51.25,10.25,61.5,UPI,Completed
TOK00184,2023-12-18,User_569,24,Color,3,72,1.5,90.0,18.0,108.0,UPI,Completed
TOK00185,2024-08-15,User_568,46,Color,3,138,1.5,172.5,34.5,207.0,UPI,Completed
TOK00186,2025-04-05,User_139,8,Color,3,24,1.5,30.0,6.0,36.0,UPI,Completed
TOK00187,2025-05-28,User_704,38,Black & White,2,76,1.5,95.0,19.0,114.0,UPI,Completed
TOK00188,2023-09-04,User_1038,37,Black & White,3,111,1.5,138.75,27.75,166.5,UPI,Completed
TOK00189,2023-07-01,User_895,46,Color,1,46,1.5,57.5,11.5,69.0,UPI,Completed
TOK00190,2023-01-27,User_785,43,Black & White,2,86,1.5,107.5,21.5,129.0,UPI,Completed
TOK00191,2024-01-10,User_1073,8,Color,2,16,1.5,20.0,4.0,24.0,UPI,Completed
TOK00192,2025-01-15,User_648,5,Black & White,2,10,1.5,12.5,2.5,15.0,UPI,Completed
TOK00193,2023-05-04,User_835,33,Color,1,33,1.5,41.25,8.25,49.5,UPI,Completed
TOK00194,2025-07-15,User_1196,31,Color,3,93,1.5,116.25,23.25,139.5,UPI,Completed
TOK00195,2023-02-20,User_483,44,Black & White,1,44,1.5,55.0,11.0,66.0,UPI,Completed
TOK00196,2024-12-06,User_20,44,Color,2,88,1.5,110.0,22.0,132.0,UPI,Completed
TOK00197,2024-03-06,User_923,18,Black & White,3,54,1.5,67.5,13.5,81.0,UPI,Completed
TOK00198,2024-07-30,User_295,16,Black & White,1,16,1.5,20.0,4.0,24.0,UPI,Completed
TOK00199,2025-12-23,User_610,18,Color,3,54,1.5,67.5,13.5,81.0,UPI,Completed
TOK00200,2024-06-19,User_8,34,Color,1,34,1.5,42.5,8.5,51.0,UPI,Completed
TOK00201,2025-08-10,User_619,41,Black & White,2,82,1.5,102.5,20.5,123.0,UPI,Completed
TOK00202,2024-12-19,User_325,47,Black & White,1,47,1.5,58.75,11.75,70.5,UPI,Completed
TOK00203,2024-12-11,User_22,14,Color,2,28,1.5,35.0,7.0,42.0,UPI,Completed
TOK00204,2023-03-17,User_1198,2,Black & White,2,4,1.5,5.0,1.0,6.0,UPI,Completed
TOK00205,2024-02-18,User_824,43,Black & White,1,43,1.5,53.75,10.75,64.5,UPI,Completed
TOK00206,2025-02-25,User_351,43,Black & White,1,43,1.5,53.75,10.75,64.5,UPI,Completed
TOK00207,2023-08-31,User_1068,29,Black & White,1,29,1.5,36.25,7.25,43.5,UPI,Completed
TOK00208,2023-01-07,User_376,13,Black & White,1,13,1.5,16.25,3.25,19.5,UPI,Completed
TOK00209,2023-05-04,User_1075,10,Color,1,10,1.5,12.5,2.5,15.0,UPI,Completed
TOK00210,2025-03-05,User_726,2,Black & White,1,2,1.5,2.5,0.5,3.0,UPI,Completed
TOK00211,2023-11-09,User_769,50,Black & White,1,50,1.5,62.5,12.5,75.0,UPI,Completed
TOK00212,2025-09-20,User_193,6,Black & White,1,6,1.5,7.5,1.5,9.0,UPI,Completed
TOK00213,2024-08-18,User_1193,24,Color,2,48,1.5,60.0,12.0,72.0,UPI,Completed
TOK00214,2023-08-15,User_1131,34,Color,3,102,1.5,127.5,25.5,153.0,UPI,Completed
TOK00215,2023-10-13,User_1038,39,Black & White,3,117,1.5,146.25,29.25,175.5,UPI,Completed
TOK00216,2025-01-03,User_204,36,Black & White,3,108,1.5,135.0,27.0,162.0,UPI,Completed
TOK00217,2025-01-25,User_291,3,Black & White,2,6,1.5,7.5,1.5,9.0,UPI,Completed
TOK00218,2025-10-07,User_908,3,Black & White,2,6,1.5,7.5,1.5,9.0,UPI,Completed
TOK00219,2024-05-11,User_1086,21,Color,1,21,1.5,26.25,5.25,31.5,UPI,Completed
TOK00220,2023-01-31,User_163,26,Color,2,52,1.5,65.0,13.0,78.0,UPI,Completed
TOK00221,2023-06-24,User_230,10,Black & White,1,10,1.5,12.5,2.5,15.0,UPI,Completed
TOK00222,2024-10-07,User_1080,6,Black & White,1,6,1.5,7.5,1.5,9.0,UPI,Completed
TOK00223,2023-04-25,User_42,6,Black & White,3,18,1.5,22.5,4.5,27.0,UPI,Completed
TOK00224,2025-07-14,User_499,22,Color,2,44,1.5,55.0,11.0,66.0,UPI,Completed
TOK00225,2025-01-14,User_821,49,Black & White,3,147,1.5,183.75,36.75,220.5,UPI,Completed
TOK00226,2025-06-05,User_906,20,Black & White,2,40,1.5,50.0,10.0,60.0,UPI,Completed
TOK00227,2024-02-16,User_1149,6,Color,1,6,1.5,7.5,1.5,9.0,UPI,Completed
TOK00228,2025-07-14,User_635,22,Black & White,2,44,1.5,55.0,11.0,66.0,UPI,Completed
TOK00229,2023-04-08,User_426,14,Color,3,42,1.5,52.5,10.5,63.0,UPI,Completed
TOK00230,2024-12-08,User_526,29,Black & White,1,29,1.5,36.25,7.25,43.5,UPI,Completed
TOK00231,2023-04-04,User_376,9,Black & White,2,18,1.5,22.5,4.5,27.0,UPI,Completed
TOK00232,2025-06-02,User_617,22,Black & White,1,22,1.5,27.5,5.5,33.0,UPI,Completed
TOK00233,2025-07-04,User_138,6,Color,2,12,1.5,15.0,3.0,18.0,UPI,Completed
TOK00234,2024-01-19,User_1052,45,Black & White,3,135,1.5,168.75,33.75,202.5,UPI,Completed
TOK00235,2024-01-15,User_166,43,Color,2,86,1.5,107.5,21.5,129.0,UPI,Completed
TOK00236,2025-12-08,User_501,14,Color,2,28,1.5,35.0,7.0,42.0,UPI,Completed
TOK00237,2025-10-02,User_856,9,Color,2,18,1.5,22.5,4.5,27.0,UPI,Completed
TOK00238,2023-04-05,User_687,11,Black & White,3,33,1.5,41.25,8.25,49.5,UPI,Completed
TOK00239,2025-05-01,User_366,11,Color,1,11,1.5,13.75,2.75,16.5,UPI,Completed
TOK00240,2023-08-17,User_35,7,Black & White,1,7,1.5,8.75,1.75,10.5,UPI,Completed
TOK00241,2025-01-07,User_454,36,Color,2,72,1.5,90.0,18.0,108.0,UPI,Completed
TOK00242,2024-05-28,User_764,50,Black & White,2,100,1.5,125.0,25.0,150.0,UPI,Completed
TOK00243,2025-03-18,User_182,37,Black & White,1,37,1.5,46.25,9.25,55.5,UPI,Completed
TOK00244,2023-03-09,User_392,21,Black & White,3,63,1.5,78.75,15.75,94.5,UPI,Completed
TOK00245,2025-06-22,User_367,9,Color,1,9,1.5,11.25,2.25,13.5,UPI,Completed
TOK00246,2023-10-24,User_793,9,Black & White,1,9,1.5,11.25,2.25,13.5,UPI,Completed
TOK00247,2025-09-11,User_57,21,Color,1,21,1.5,26.25,5.25,31.5,UPI,Completed
TOK00248,2025-08-30,User_754,20,Black & White,2,40,1.5,50.0,10.0,60.0,UPI,Completed
TOK00249,2025-12-15,User_1020,31,Black & White,3,93,1.5,116.25,23.25,139.5,UPI,Completed
TOK00250,2024-06-14,User_503,5,Color,3,15,1.5,18.75,3.75,22.5,UPI,Completed
TOK00251,2025-05-31,User_543,10,Black & White,3,30,1.5,37.5,7.5,45.0,UPI,Completed
TOK00252,2024-02-19,User_126,3,Color,3,9,1.5,11.25,2.25,13.5,UPI,Completed
TOK00253,2023-12-31,User_401,37,Black & White,2,74,1.5,92.5,18.5,111.0,UPI,Completed
TOK00254,2025-10-30,User_68,41,Black & White,1,41,1.5,51.25,10.25,61.5,UPI,Completed
TOK00255,2023-03-03,User_627,40,Color,1,40,1.5,50.0,10.0,60.0,UPI,Completed
TOK00256,2024-10-31,User_362,3,Black & White,2,6,1.5,7.5,1.5,9.0,UPI,Completed
TOK00257,2023-07-16,User_315,28,Black & White,1,28,1.5,35.0,7.0,42.0,UPI,Completed
TOK00258,2025-07-22,User_137,29,Black & White,1,29,1.5,36.25,7.25,43.5,UPI,Completed
TOK00259,2023-09-16,User_503,9,Color,3,27,1.5,33.75,6.75,40.5,UPI,Completed
TOK00260,2024-02-23,User_366,26,Black & White,1,26,1.5,32.5,6.5,39.0,UPI,Completed
TOK00261,2025-01-26,User_177,30,Color,1,30,1.5,37.5,7.5,45.0,UPI,Completed
TOK00262,2024-02-09,User_1188,21,Color,2,42,1.5,52.5,10.5,63.0,UPI,Completed
TOK00263,2024-09-17,User_818,19,Color,2,38,1.5,47.5,9.5,57.0,UPI,Completed
TOK00264,2025-09-22,User_267,24,Color,1,24,1.5,30.0,6.0,36.0,UPI,Completed
TOK00265,2025-12-31,User_743,48,Black & White,1,48,1.5,60.0,12.0,72.0,UPI,Completed
TOK00266,2025-07-05,User_771,33,Black & White,3,99,1.5,123.75,24.75,148.5,UPI,Completed
TOK00267,2023-08-25,User_250,40,Black & White,1,40,1.5,50.0,10.0,60.0,UPI,Completed
TOK00268,2024-05-04,User_472,1,Color,3,3,1.5,3.75,0.75,4.5,UPI,Completed
TOK00269,2024-02-25,User_229,39,Black & White,2,78,1.5,97.5,19.5,117.0,UPI,Completed
